Date : 2024-12-18 09:35:21
Directory : e:\MERN-School-Management-System
Total : 152 files,  103101 codes, 2989 comments, 5430 blanks, all 111520 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| e:\MERN-School-Management-System\frontend\src\pages\admin\teacherRelated\ShowTeachers.js         | JavaScript |        156 |          0 |         13 |        169 |
| e:\MERN-School-Management-System\frontend\src\pages\admin\teacherRelated\TeacherDetails.js       | JavaScript |         56 |          0 |          8 |         64 |
| e:\MERN-School-Management-System\frontend\src\pages\student\StudentComplain.js                   | JavaScript |        106 |          0 |         10 |        116 |
| e:\MERN-School-Management-System\frontend\src\pages\student\StudentDashboard.js                  | JavaScript |        112 |          0 |          6 |        118 |
| e:\MERN-School-Management-System\frontend\src\pages\student\StudentHomePage.js                   | JavaScript |        120 |          0 |         16 |        136 |
| e:\MERN-School-Management-System\frontend\src\pages\student\StudentProfile.js                    | JavaScript |        100 |          0 |          6 |        106 |
| e:\MERN-School-Management-System\frontend\src\pages\student\StudentSideBar.js                    | JavaScript |         61 |          0 |          3 |         64 |
| e:\MERN-School-Management-System\frontend\src\pages\student\StudentSubjects.js                   | JavaScript |        128 |          0 |         15 |        143 |
| e:\MERN-School-Management-System\frontend\src\pages\student\ViewStdAttendance.js                 | JavaScript |        171 |          0 |         20 |        191 |
| e:\MERN-School-Management-System\frontend\src\pages\teacher\TeacherClassDetails.js               | JavaScript |        161 |          0 |         17 |        178 |
| e:\MERN-School-Management-System\frontend\src\pages\teacher\TeacherComplain.js                   | JavaScript |          7 |          0 |          2 |          9 |
| e:\MERN-School-Management-System\frontend\src\pages\teacher\TeacherDashboard.js                  | JavaScript |        116 |          0 |          9 |        125 |
| e:\MERN-School-Management-System\frontend\src\pages\teacher\TeacherHomePage.js                   | JavaScript |         89 |          0 |         10 |         99 |
| e:\MERN-School-Management-System\frontend\src\pages\teacher\TeacherProfile.js                    | JavaScript |         39 |          0 |          8 |         47 |
| e:\MERN-School-Management-System\frontend\src\pages\teacher\TeacherSideBar.js                    | JavaScript |         57 |          0 |          4 |         61 |
| e:\MERN-School-Management-System\frontend\src\pages\teacher\TeacherViewStudent.js                | JavaScript |        198 |          0 |         18 |        216 |
| e:\MERN-School-Management-System\frontend\src\redux\complainRelated\complainHandle.js            | JavaScript |         20 |          0 |          2 |         22 |
| e:\MERN-School-Management-System\frontend\src\redux\complainRelated\complainSlice.js             | JavaScript |         38 |          0 |          4 |         42 |
| e:\MERN-School-Management-System\frontend\src\redux\noticeRelated\noticeHandle.js                | JavaScript |         20 |          0 |          2 |         22 |
| e:\MERN-School-Management-System\frontend\src\redux\noticeRelated\noticeSlice.js                 | JavaScript |         38 |          0 |          4 |         42 |
| e:\MERN-School-Management-System\frontend\src\redux\sclassRelated\sclassHandle.js                | JavaScript |         87 |          0 |         12 |         99 |
| e:\MERN-School-Management-System\frontend\src\redux\sclassRelated\sclassSlice.js                 | JavaScript |         88 |          0 |          4 |         92 |
| e:\MERN-School-Management-System\frontend\src\redux\store.js                                     | JavaScript |         18 |          0 |          3 |         21 |
| e:\MERN-School-Management-System\frontend\src\redux\studentRelated\studentHandle.js              | JavaScript |         49 |          0 |          6 |         55 |
| e:\MERN-School-Management-System\frontend\src\redux\studentRelated\studentSlice.js               | JavaScript |         53 |          0 |          4 |         57 |
| e:\MERN-School-Management-System\frontend\src\redux\teacherRelated\teacherHandle.js              | JavaScript |         44 |          0 |          6 |         50 |
| e:\MERN-School-Management-System\frontend\src\redux\teacherRelated\teacherSlice.js               | JavaScript |         52 |          0 |          4 |         56 |
| e:\MERN-School-Management-System\frontend\src\redux\userRelated\userHandle.js                    | JavaScript |        106 |          0 |         15 |        121 |
| e:\MERN-School-Management-System\frontend\src\redux\userRelated\userSlice.js                     | JavaScript |         96 |          0 |          7 |        103 |
| Total                                                                                            |            |    103,101 |      2,989 |      5,430 |    111,520 |
+--------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
